key,context,swedish,englishUK,englishUS,status,translator,lastModified,notes,charCount
b2b.orders.mdw32_mdh32_w40_h40_mxauto_bggray200_roundedlg_fle,                          ) : (                             <div className=:md:w-32 md:h-32 w-40 h-40 mx-auto bg-gray-200 rounded-lg flex items-center justify-center,md:w-32 md:h-32 w-40 h-40 mx-auto bg-gray-200 rounded-lg flex items-center justify-center,,,new,,,From                           ) : (                             <div className=,89
b2b.orders.mt2_bgblue600_textwhite_mdpx3_mdpy1_px4_py2_rounde,                          {colorSubtotal > 0 && (                             <div className=:mt-2 bg-blue-600 text-white md:px-3 md:py-1 px-4 py-2 rounded-full md:text-sm text-base font-medium inline-block,mt-2 bg-blue-600 text-white md:px-3 md:py-1 px-4 py-2 rounded-full md:text-sm text-base font-medium inline-block,,,new,,,From                           {colorSubtotal > 0 && (                             <div className=,112
b2b.orders.mdflex_mditemscenter_mdjustifybetween_mdp3_p4_bgwh,"                          {[2, 4, 6].map(size => (                             <div key={size} className=:md:flex md:items-center md:justify-between md:p-3 p-4 bg-white rounded border border-gray-200 md:space-y-0 space-y-4",md:flex md:items-center md:justify-between md:p-3 p-4 bg-white rounded border border-gray-200 md:space-y-0 space-y-4,,,new,,,"From                           {[2, 4, 6].map(size => (                             <div key={size} className=",116
b2b.orders.mdflex_mditemscenter_mdgap2_grid_gridcols2_gap3_md,"                              {/* Quick quantity buttons - Mobile: 2x2 grid, Desktop: horizontal row */}                               <div className=:md:flex md:items-center md:gap-2 grid grid-cols-2 gap-3 md:grid-cols-none",md:flex md:items-center md:gap-2 grid grid-cols-2 gap-3 md:grid-cols-none,,,new,,,"From                               {/* Quick quantity buttons - Mobile: 2x2 grid, Desktop: horizontal row */}                               <div className=",73
b2b.orders.mdpx2_mdpy1_px4_py2_mdtextsm_textbase_textred600_h,"                                  onClick={() => updateItemQuantity(colorId, size, 0)}                                   className=:md:px-2 md:py-1 px-4 py-2 md:text-sm text-base text-red-600 hover:text-red-800 md:min-h-0 min-h-[40px] md:w-auto w-full md:mt-0 mt-2 bg-red-50 hover:bg-red-100 rounded-lg border border-red-200 hover:border-red-300 transition-colors",md:px-2 md:py-1 px-4 py-2 md:text-sm text-base text-red-600 hover:text-red-800 md:min-h-0 min-h-[40px] md:w-auto w-full md:mt-0 mt-2 bg-red-50 hover:bg-red-100 rounded-lg border border-red-200 hover:border-red-300 transition-colors,,,new,,,"From                                   onClick={() => updateItemQuantity(colorId, size, 0)}                                   className=",231
b2b.orders.mdinline_hidden,                                >                                   <span className=:md:inline hidden,md:inline hidden,,,new,,,From                                 >                                   <span className=,16
b2b.orders.mdhidden_inline,                                  <span className=:md:inline hidden,md:hidden inline,,,new,,,From                                   <span className=,16
b2b.orders.minst_minimumorderquantity_forpackningar_kravs,                      {loading ? 'Bearbetar...' :                          !isFormComplete ? `Minst ${MINIMUM_ORDER_QUANTITY} förpackningar krävs` :                         'Bekräfta beställning'}:OrderPage.jsx,Minst ${MINIMUM_ORDER_QUANTITY} förpackningar krävs,,,new,,,From                       {loading ? 'Bearbetar...' :                          !isFormComplete ? `Minst ${MINIMUM_ORDER_QUANTITY} förpackningar krävs` :                         'Bekräfta beställning'},51
b2b.orders.bekrafta_bestallning,                        !isFormComplete ? `Minst ${MINIMUM_ORDER_QUANTITY} förpackningar krävs` :                         'Bekräfta beställning'}                     </button>:OrderPage.jsx,Bekräfta beställning,,,new,,,From                         !isFormComplete ? `Minst ${MINIMUM_ORDER_QUANTITY} förpackningar krävs` :                         'Bekräfta beställning'}                     </button>,20
b2b.products.kunde_inte_ladda_produkter,"        console.error('❌ Error fetching products:', err);         setError(t('products.could_not_load', 'Kunde inte ladda produkter'));       } finally {:ProductViewPage.jsx",Kunde inte ladda produkter,,,new,,,"From         console.error('❌ Error fetching products:', err);         setError(t('products.could_not_load', 'Kunde inte ladda produkter'));       } finally {",26
b2b.products.ingen_bild_tillganglig_for_nedladdning,"    if (!imageUrl) {       toast.error(t('products.no_image_available', 'Ingen bild tillgänglig för nedladdning'));       return;:ProductViewPage.jsx",Ingen bild tillgänglig för nedladdning,,,new,,,"From     if (!imageUrl) {       toast.error(t('products.no_image_available', 'Ingen bild tillgänglig för nedladdning'));       return;",38
b2b.products.kunde_inte_ladda_ner_bilden,"      console.error('Download error:', error);       toast.error('Kunde inte ladda ner bilden');     }:ProductViewPage.jsx",Kunde inte ladda ner bilden,,,new,,,"From       console.error('Download error:', error);       toast.error('Kunde inte ladda ner bilden');     }",27
b2b.products.du_maste_vara_inloggad_for_att_se_produkter,          <div className=:text-center,Du måste vara inloggad för att se produkter,,,new,,,From           <div className=,43
b2b.products.textblue600_hoverunderline,            <p className=:text-gray-500,text-blue-600 hover:underline,,,new,,,From             <p className=,29
b2b.products.flex_flexcol_smflexrow_justifybetween_itemsstart_s,        <div className=:mb-8,flex flex-col sm:flex-row justify-between items-start sm:items-center gap-4,,,new,,,From         <div className=,75
b2b.products.inlineflex_itemscenter_px4_py2_border_bordergray30,                to=:/,inline-flex items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500,,,new,,,From                 to=,200
b2b.products.inlineflex_itemscenter_px4_py2_border_bordertransp,                  to=:/admin/products,inline-flex items-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500,,,new,,,From                   to=,204
b2b.products.flex_justifycenter_itemscenter_h64,        {loading ? (           <div className=:flex justify-center items-center h-64,flex justify-center items-center h-64,,,new,,,From         {loading ? (           <div className=,37
b2b.products.flex_itemscenter_justifybetween,            <div className=:px-6 py-4 border-b border-gray-200,flex items-center justify-between,,,new,,,From             <div className=,33
b2b.products.inlineflex_itemscenter_textsm_textblue600_hovertex,                  onClick={handleBackToList}                   className=:inline-flex items-center text-sm text-blue-600 hover:text-blue-900,inline-flex items-center text-sm text-blue-600 hover:text-blue-900,,,new,,,From                   onClick={handleBackToList}                   className=,66
b2b.products.aktiv,                }`}>                   {selectedProduct.isActive ? 'Aktiv' : 'Inaktiv'}                 </span>:ProductViewPage.jsx,Aktiv,,,new,,,From                 }`}>                   {selectedProduct.isActive ? 'Aktiv' : 'Inaktiv'}                 </span>,5
b2b.products.inaktiv,                }`}>                   {selectedProduct.isActive ? 'Aktiv' : 'Inaktiv'}                 </span>:ProductViewPage.jsx,Inaktiv,,,new,,,From                 }`}>                   {selectedProduct.isActive ? 'Aktiv' : 'Inaktiv'}                 </span>,7
b2b.products.wfull_inlineflex_itemscenter_justifycenter_px4_py2,"                            onClick={() => handleDownloadImage(imageUrl, selectedProduct.name, 'product')}                             className=:w-full inline-flex items-center justify-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500",w-full inline-flex items-center justify-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500,,,new,,,"From                             onClick={() => handleDownloadImage(imageUrl, selectedProduct.name, 'product')}                             className=",226
b2b.products.wfull_inlineflex_itemscenter_justifycenter_px3_py2,"                              onClick={() => handleDownloadImage(selectedProduct.eanImagePngUrl, selectedProduct.name, 'ean_png')}                               className=:w-full inline-flex items-center justify-center px-3 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500",w-full inline-flex items-center justify-center px-3 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500,,,new,,,"From                               onClick={() => handleDownloadImage(selectedProduct.eanImagePngUrl, selectedProduct.name, 'ean_png')}                               className=",222
b2b.products.px4_py6_hoverbggray50_transitioncolors_cursorpoint,                      key={product.id}                        className=:px-4 py-6 hover:bg-gray-50 transition-colors cursor-pointer,px-4 py-6 hover:bg-gray-50 transition-colors cursor-pointer,,,new,,,From                       key={product.id}                        className=,59
b2b.products.flex_itemsstart_spacex4,                    >                       <div className=:flex items-start space-x-4,flex items-start space-x-4,,,new,,,From                     >                       <div className=,26
b2b.products.w20_h20_bggray100_roundedlg_flex_itemscenter_justi,                            ) : (                               <div className=:w-20 h-20 bg-gray-100 rounded-lg flex items-center justify-center border border-gray-200,w-20 h-20 bg-gray-100 rounded-lg flex items-center justify-center border border-gray-200,,,new,,,From                             ) : (                               <div className=,88
b2b.products.flex_itemsstart_justifybetween,                        <div className=:flex-1 min-w-0,flex items-start justify-between,,,new,,,From                         <div className=,32
b2b.products.flex_itemscenter_spacex2,                            <div className=:flex flex-wrap gap-4 text-sm,flex items-center space-x-2,,,new,,,From                             <div className=,27
b2b.products.flex_itemscenter_spacex2_textsm,                            {product.eanCode && (                               <div className=:flex items-center space-x-2 text-sm,flex items-center space-x-2 text-sm,,,new,,,From                             {product.eanCode && (                               <div className=,35
b2b.products.wfull_bgblue600_textwhite_px4_py3_roundedlg_hoverb,                              }}                               className=:w-full bg-blue-600 text-white px-4 py-3 rounded-lg hover:bg-blue-700 transition-colors text-base font-medium min-h-[48px] flex items-center justify-center,w-full bg-blue-600 text-white px-4 py-3 rounded-lg hover:bg-blue-700 transition-colors text-base font-medium min-h-[48px] flex items-center justify-center,,,new,,,From                               }}                               className=,154
b2b.products.flex_itemscenter_spacex3,                        <td className=:px-4 py-4,flex items-center space-x-3,,,new,,,From                         <td className=,27
b2b.products.w10_h10_bggray100_roundedmd_flex_itemscenter_justi,                              ) : (                                 <div className=:w-10 h-10 bg-gray-100 rounded-md flex items-center justify-center border border-gray-200 flex-shrink-0,w-10 h-10 bg-gray-100 rounded-md flex items-center justify-center border border-gray-200 flex-shrink-0,,,new,,,From                               ) : (                                 <div className=,102
b2b.products.inlineflex_itemscenter_px3_py2_border_bordertransp,                            }}                             className=:inline-flex items-center px-3 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500 transition-colors,inline-flex items-center px-3 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500 transition-colors,,,new,,,From                             }}                             className=,222
b2b.profile.user_found_in_named_database,        if (userDocSnap.exists()) {           console.log('User found in named database');           const data = userDocSnap.data();:ProfilePage.jsx,User found in named database,,,new,,,From         if (userDocSnap.exists()) {           console.log('User found in named database');           const data = userDocSnap.data();,28
b2b.profile.no_user_found_in_named_database_creating_profile,"        } else {           console.log('No user found in named database, creating profile');           // Create new user profile:ProfilePage.jsx","No user found in named database, creating profile",,,new,,,"From         } else {           console.log('No user found in named database, creating profile');           // Create new user profile",49
b2b.profile.creating_profile_in_named_database,"          try {             console.log('Creating profile in named database');             await setDoc(doc(db, 'users', currentUser.uid), newUserData);:ProfilePage.jsx",Creating profile in named database,,,new,,,"From           try {             console.log('Creating profile in named database');             await setDoc(doc(db, 'users', currentUser.uid), newUserData);",34
b2b.profile.profile_created_in_named_database,"            await setDoc(doc(db, 'users', currentUser.uid), newUserData);             console.log('Profile created in named database');           } catch (nameDbError) {:ProfilePage.jsx",Profile created in named database,,,new,,,"From             await setDoc(doc(db, 'users', currentUser.uid), newUserData);             console.log('Profile created in named database');           } catch (nameDbError) {",33
b2b.profile.error_creating_profile_in_named_database,"          } catch (nameDbError) {             console.error('Error creating profile in named database:', nameDbError);           }:ProfilePage.jsx",Error creating profile in named database:,,,new,,,"From           } catch (nameDbError) {             console.error('Error creating profile in named database:', nameDbError);           }",41
b2b.profile.profile_updated_successfully,             setSuccess('Profile updated successfully');       toast.success('Profile updated successfully');:ProfilePage.jsx,Profile updated successfully,,,new,,,From              setSuccess('Profile updated successfully');       toast.success('Profile updated successfully');,28
b2b.profile.profile_update_error,"    } catch (error) {       console.error('Profile update error:', error);       setError('Failed to update profile. Please try again later.');:ProfilePage.jsx",Profile update error:,,,new,,,"From     } catch (error) {       console.error('Profile update error:', error);       setError('Failed to update profile. Please try again later.');",21
b2b.profile.flex_itemscenter_justifycenter_py12,      <AppLayout>         <div className=:flex items-center justify-center py-12,flex items-center justify-center py-12,,,new,,,From       <AppLayout>         <div className=,38
b2b.profile.profilinformation,          <div className=:mb-6 md:mb-8,Profilinformation,,,new,,,From           <div className=,17
b2b.profile.foretagsinformation,                  <h3 className=:text-base md:text-lg font-medium text-gray-900 mb-3 md:mb-4 pb-2 border-b border-gray-200,Företagsinformation,,,new,,,From                   <h3 className=,19
b2b.profile.foretagsnamn,                    <div>                       <p className=:text-sm md:text-sm text-gray-500 mb-1,Företagsnamn,,,new,,,From                     <div>                       <p className=,12
b2b.profile.kontaktperson,                    <div>                       <p className=:text-sm md:text-sm text-gray-500 mb-1,Kontaktperson,,,new,,,From                     <div>                       <p className=,13
b2b.profile.textsm_mdtextsm_textgray600_italic,                  {userData?.sameAsCompanyAddress !== false ? (                     <p className=:text-sm md:text-sm text-gray-600 italic,text-sm md:text-sm text-gray-600 italic,,,new,,,From                   {userData?.sameAsCompanyAddress !== false ? (                     <p className=,39
b2b.profile.wfull_mdwauto_inlineflex_itemscenter_justifycenter,                  onClick={() => setIsEditing(true)}                   className=:w-full md:w-auto inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-transparent text-base md:text-sm font-medium rounded-md shadow-sm text-white bg-blue-600 hover:bg-blue-700 min-h-[48px] md:min-h-0,w-full md:w-auto inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-transparent text-base md:text-sm font-medium rounded-md shadow-sm text-white bg-blue-600 hover:bg-blue-700 min-h-[48px] md:min-h-0,,,new,,,From                   onClick={() => setIsEditing(true)}                   className=,227
b2b.profile.flex_itemscenter_p3_mdp0_cursorpointer,                  <div className=:mb-6,flex items-center p-3 md:p-0 cursor-pointer,,,new,,,From                   <div className=,43
b2b.profile.wfull_mdwauto_inlineflex_itemscenter_justifycenter,                    onClick={() => setIsEditing(false)}                     className=:w-full md:w-auto inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-gray-300 text-base md:text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 min-h-[48px] md:min-h-0,w-full md:w-auto inline-flex items-center justify-center px-6 py-3 md:px-4 md:py-2 border border-gray-300 text-base md:text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 min-h-[48px] md:min-h-0,,,new,,,From                     onClick={() => setIsEditing(false)}                     className=,213
b2b.profile.spara_andringar,                  >                     {loading ? 'Sparar...' : 'Spara Ändringar'}                   </button>:ProfilePage.jsx,Spara Ändringar,,,new,,,From                   >                     {loading ? 'Sparar...' : 'Spara Ändringar'}                   </button>,15
b2b.profile.uppdatera_losenord,                >                   {loading ? 'Uppdaterar...' : 'Uppdatera Lösenord'}                 </button>:ProfilePage.jsx,Uppdatera Lösenord,,,new,,,From                 >                   {loading ? 'Uppdaterar...' : 'Uppdatera Lösenord'}                 </button>,18
